time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
0.529916,0.144842911,-0.862821812,-0.166782508,-2.125116541,-0.137064636,1.272389736,0.200373976
0.539975,0.148426344,-0.864747134,-0.170908730,-2.119404453,-0.140455634,1.265002077,0.185910248
0.549994,0.151881644,-0.866603612,-0.174887410,-2.113896613,-0.143725379,1.257878581,0.171963704
0.560025,0.155226329,-0.868400658,-0.178738720,-2.108565096,-0.146890450,1.250983129,0.158463629
0.571159,0.158801061,-0.870321306,-0.182854924,-2.102866877,-0.150273215,1.243613408,0.144035020
0.579981,0.161528853,-0.871786905,-0.185995898,-2.098518705,-0.152854519,1.237989754,0.133024901
0.589852,0.164470184,-0.873367236,-0.189382757,-2.093830145,-0.155637897,1.231925863,0.121152876
0.599823,0.167321385,-0.874899141,-0.192665835,-2.089285254,-0.158335984,1.226047784,0.109644639
0.609984,0.170104963,-0.876394714,-0.195871046,-2.084848156,-0.160970080,1.220309119,0.098409348
0.623228,0.173552861,-0.878247215,-0.199841203,-2.079352115,-0.164232821,1.213200882,0.084492678
0.631175,0.175526450,-0.879307593,-0.202113734,-2.076206163,-0.166100425,1.209132103,0.076526731
0.639930,0.177618721,-0.880431737,-0.204522925,-2.072871027,-0.168080338,1.204818647,0.068081747
0.649867,0.179888469,-0.881651238,-0.207136476,-2.069252987,-0.170228198,1.200139300,0.058920414
0.659898,0.182065184,-0.882820752,-0.209642902,-2.065783245,-0.172288020,1.195651752,0.050134590
0.670002,0.184139136,-0.883935054,-0.212030999,-2.062477310,-0.174250598,1.191376062,0.041763546
0.680729,0.186208120,-0.885046686,-0.214413375,-2.059179296,-0.176208474,1.187110616,0.033412557
0.690417,0.187957883,-0.885986806,-0.216428178,-2.056390127,-0.177864272,1.183503278,0.026350029
0.699961,0.189570641,-0.886853316,-0.218285222,-2.053819348,-0.179390423,1.180178394,0.019840494
0.710016,0.191151847,-0.887702873,-0.220105937,-2.051298863,-0.180886716,1.176918555,0.013458307
0.722114,0.192898661,-0.888641408,-0.222117343,-2.048514395,-0.182539723,1.173317298,0.006407684
0.729834,0.193926619,-0.889193714,-0.223301008,-2.046875803,-0.183512479,1.171198045,0.002258561
0.740000,0.195178164,-0.889866150,-0.224742127,-2.044880806,-0.184696814,1.168617841,-0.002793022
0.750026,0.196298358,-0.890468012,-0.226031998,-2.043095188,-0.185756852,1.166308434,-0.007314432
0.759997,0.197298282,-0.891005255,-0.227183383,-2.041501281,-0.186703079,1.164246975,-0.011350404
0.770110,0.198193979,-0.891486499,-0.228214753,-2.040073516,-0.187550676,1.162400392,-0.014965685
0.780560,0.198991907,-0.891915213,-0.229133544,-2.038801598,-0.188305753,1.160755373,-0.018186341
0.789902,0.199593949,-0.892238681,-0.229826778,-2.037841927,-0.188875465,1.159514194,-0.020616350
0.799877,0.200120427,-0.892521549,-0.230433003,-2.037002707,-0.189373670,1.158428799,-0.022741361
0.812136,0.200604667,-0.892781724,-0.230990592,-2.036230815,-0.189831906,1.157430483,-0.024695888
0.819962,0.200824764,-0.892899979,-0.231244027,-2.035879975,-0.190040184,1.156976728,-0.025584260
0.830993,0.201021059,-0.893005445,-0.231470055,-2.035567076,-0.190225937,1.156572043,-0.026376560
0.840065,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
0.852165,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
0.859966,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
0.869875,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
0.880249,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
0.889985,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
0.899991,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
0.909904,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
0.920025,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
0.929946,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
0.940144,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
0.949988,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
0.961191,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
0.969947,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
0.980006,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
0.991019,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.000099,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.010028,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.019789,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.030379,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.040319,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.050041,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.060016,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.069917,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.082077,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.091672,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.100853,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.111915,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
1.121024,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
